Remark	GameType	IsCanSprint	IsCreatureCollision
备注	游戏类型	是否能疾跑	怪物是否有碰撞
默认	g1000	1	1
饥饿游戏	g1001	1	1
空岛战争	g1002	1	1
饥饿游戏组队	g1003	1	1
旧建造战争	g1004	1	1
部落战争	g1005	1	1
掘一死战	g1007	1	1
起床战争	g1008	1	1
神秘杀手	g1009	1	1
TNT跑酷	g1010	1	1
雪球大战	g1011	1	1
雪球百人斩	g1012	1	1
生化危机	g1013	1	1
警匪大战	g1014	1	1
沙漠寻宝	g1015	1	1
刺激战场	g1016	1	1
躲猫猫	g1017	1	1
龙蛋战争	g1018	1	1
异星入侵	g1019	0	0
迷你小镇	g1020	1	1
螺旋跑酷	g1021	0	1
夺旗大战	g1022	1	1
建造战争	g1023	1	1
宝石骑士	g1024	1	1
我的大亨	g1025	1	1
丢锅大战	g1026	1	1
空岛乱斗	g1027	1	1
比武大会	g1028	1	1
超级战墙	g1029	0	1
